id,team_fifa_api_id,team_api_id,date,buildUpPlaySpeed,buildUpPlaySpeedClass,buildUpPlayDribbling,buildUpPlayDribblingClass,buildUpPlayPassing
79,2,10252,2012-02-22 00:00:00,67,Fast,,Little,58
80,2,10252,2013-09-20 00:00:00,63,Balanced,,Little,59
81,2,10252,2014-09-19 00:00:00,66,Balanced,32.0,Little,72
82,2,10252,2015-09-10 00:00:00,63,Balanced,37.0,Normal,54
83,39,8524,2010-02-22 00:00:00,35,Balanced,,Little,40
84,39,8524,2011-02-22 00:00:00,65,Balanced,,Little,50
85,39,8524,2012-02-22 00:00:00,40,Balanced,,Little,50
86,39,8524,2013-09-20 00:00:00,64,Balanced,,Little,36
87,39,8524,2014-09-19 00:00:00,64,Balanced,45.0,Normal,37
88,39,8524,2015-09-10 00:00:00,64,Balanced,45.0,Normal,37
89,448,8315,2010-02-22 00:00:00,60,Balanced,,Little,45
90,448,8315,2011-02-22 00:00:00,70,Fast,,Little,69
91,448,8315,2012-02-22 00:00:00,42,Balanced,,Little,59
92,448,8315,2013-09-20 00:00:00,46,Balanced,,Little,38
93,448,8315,2014-09-19 00:00:00,46,Balanced,41.0,Normal,38
94,448,8315,2015-09-10 00:00:00,46,Balanced,46.0,Normal,39
95,240,9906,2010-02-22 00:00:00,64,Balanced,,Little,30
96,240,9906,2011-02-22 00:00:00,57,Balanced,,Little,54
97,240,9906,2012-02-22 00:00:00,47,Balanced,,Little,51
98,240,9906,2013-09-20 00:00:00,47,Balanced,,Little,51
99,240,9906,2014-09-19 00:00:00,47,Balanced,52.0,Normal,51
100,240,9906,2015-09-10 00:00:00,57,Balanced,50.0,Normal,50
101,100409,8406,2010-02-22 00:00:00,45,Balanced,,Little,45
102,100409,8406,2011-02-22 00:00:00,68,Fast,,Little,40
103,100409,8406,2012-02-22 00:00:00,55,Balanced,,Little,55
104,100409,8406,2013-09-20 00:00:00,40,Balanced,,Little,55
105,100409,8406,2014-09-19 00:00:00,62,Balanced,38.0,Normal,69
106,100409,8406,2015-09-10 00:00:00,59,Balanced,51.0,Normal,55
107,57,8583,2010-02-22 00:00:00,30,Slow,,Little,70
108,57,8583,2011-02-22 00:00:00,35,Balanced,,Little,65
109,57,8583,2012-02-22 00:00:00,64,Balanced,,Little,49
110,57,8583,2013-09-20 00:00:00,64,Balanced,,Little,49
111,57,8583,2014-09-19 00:00:00,64,Balanced,55.0,Normal,49
112,57,8583,2015-09-10 00:00:00,64,Balanced,55.0,Normal,49
113,1906,10229,2010-02-22 00:00:00,55,Balanced,,Little,45
114,1906,10229,2011-02-22 00:00:00,45,Balanced,,Little,31
115,1906,10229,2012-02-22 00:00:00,46,Balanced,,Little,36
116,1906,10229,2013-09-20 00:00:00,62,Balanced,,Little,40
117,1906,10229,2014-09-19 00:00:00,52,Balanced,38.0,Normal,46
118,1906,10229,2015-09-10 00:00:00,50,Balanced,46.0,Normal,58
119,241,8634,2010-02-22 00:00:00,42,Balanced,,Little,30
120,241,8634,2011-02-22 00:00:00,43,Balanced,,Little,34
121,241,8634,2012-02-22 00:00:00,24,Slow,,Little,25
122,241,8634,2013-09-20 00:00:00,35,Balanced,,Little,32
123,241,8634,2014-09-19 00:00:00,35,Balanced,35.0,Normal,32
124,241,8634,2015-09-10 00:00:00,36,Balanced,35.0,Normal,51
125,1848,9976,2010-02-22 00:00:00,30,Slow,,Little,30
126,1848,9976,2011-02-22 00:00:00,65,Balanced,,Little,35
127,1848,9976,2012-02-22 00:00:00,50,Balanced,,Little,50
128,1848,9976,2013-09-20 00:00:00,55,Balanced,,Little,57
129,1848,9976,2014-09-19 00:00:00,55,Balanced,40.0,Normal,57
130,1848,9976,2015-09-10 00:00:00,52,Balanced,40.0,Normal,65
131,896,9931,2010-02-22 00:00:00,40,Balanced,,Little,45
132,896,9931,2011-02-22 00:00:00,46,Balanced,,Little,40
133,896,9931,2012-02-22 00:00:00,61,Balanced,,Little,46
134,896,9931,2013-09-20 00:00:00,61,Balanced,,Little,46
135,896,9931,2014-09-19 00:00:00,61,Balanced,63.0,Normal,46
136,896,9931,2015-09-10 00:00:00,61,Balanced,63.0,Normal,46
137,32,8178,2010-02-22 00:00:00,70,Fast,,Little,30
138,32,8178,2011-02-22 00:00:00,67,Fast,,Little,38
139,32,8178,2012-02-22 00:00:00,58,Balanced,,Little,55
140,32,8178,2013-09-20 00:00:00,64,Balanced,,Little,55
141,32,8178,2014-09-19 00:00:00,69,Fast,30.0,Little,55
142,32,8178,2015-09-10 00:00:00,73,Fast,29.0,Little,55
143,21,9823,2010-02-22 00:00:00,65,Balanced,,Little,40
144,21,9823,2011-02-22 00:00:00,42,Balanced,,Little,40
145,21,9823,2012-02-22 00:00:00,47,Balanced,,Little,40
146,21,9823,2013-09-20 00:00:00,56,Balanced,,Little,41
147,21,9823,2014-09-19 00:00:00,37,Balanced,34.0,Normal,22
148,21,9823,2015-09-10 00:00:00,45,Balanced,24.0,Little,28
149,675,9993,2010-02-22 00:00:00,35,Balanced,,Little,35
150,675,9993,2011-02-22 00:00:00,47,Balanced,,Little,37
151,675,9993,2012-02-22 00:00:00,55,Balanced,,Little,55
152,675,9993,2013-09-20 00:00:00,47,Balanced,,Little,39
153,1897,10211,2011-02-22 00:00:00,48,Balanced,,Little,46
154,1897,10211,2012-02-22 00:00:00,39,Balanced,,Little,48
155,1897,10211,2013-09-20 00:00:00,39,Balanced,,Little,48
156,1889,9807,2010-02-22 00:00:00,30,Slow,,Little,30
157,1889,9807,2014-09-19 00:00:00,52,Balanced,53.0,Normal,52
158,1889,9807,2015-09-10 00:00:00,51,Balanced,53.0,Normal,52
159,1714,6493,2010-02-22 00:00:00,40,Balanced,,Little,50
160,1714,6493,2011-02-22 00:00:00,47,Balanced,,Little,54
161,234,9772,2010-02-22 00:00:00,30,Slow,,Little,30
162,234,9772,2011-02-22 00:00:00,65,Balanced,,Little,35
163,234,9772,2012-02-22 00:00:00,55,Balanced,,Little,48
164,234,9772,2013-09-20 00:00:00,65,Balanced,,Little,54
165,234,9772,2014-09-19 00:00:00,70,Fast,55.0,Normal,53
